'id','visitor_id','shop_id','zone_id','timestamp','current_location'
1,25,0,'','2024-06-14 20:18:34.000000','POINT (55.278332599999985 25.19883599999999)'
2,25,0,'','2024-06-14 20:21:36.307692','POINT (55.27953386552459 25.19823748278302)'
3,25,1,6,'2024-06-14 20:24:38.615384','POINT (55.27906204058133 25.197864361320335)'
4,18,0,'','2024-06-26 15:05:53.000000','POINT (55.27968500000001 25.198719199999996)'
5,18,2,1,'2024-06-26 15:08:52.708738','POINT (55.27897924072979 25.19887161657874)'
6,18,2,1,'2024-06-26 15:11:52.417476','POINT (55.27891862710968 25.198927165920125)'
7,18,10,2,'2024-06-26 15:14:52.126214','POINT (55.27862023215796 25.198179744506195)'
8,18,0,'','2024-06-26 15:17:51.834952','POINT (55.27965920019446 25.198375043445576)'
9,18,0,'','2024-06-26 15:20:51.543690','POINT (55.27935820695704 25.19775480067858)'
10,18,8,4,'2024-06-26 15:23:51.252428','POINT (55.27985401575959 25.197696858227452)'
11,18,2,1,'2024-06-26 15:26:50.961166','POINT (55.2788747144993 25.199115415422032)'
12,18,0,'','2024-06-26 15:29:50.669904','POINT (55.28051276899651 25.197696194089257)'
13,18,0,'','2024-06-26 15:32:50.378642','POINT (55.278940504795145 25.197667883211036)'
14,46,0,'','2024-10-20 14:53:26.000000','POINT (55.2805884 25.19755989999999)'
15,46,0,'','2024-10-20 14:56:25.796610','POINT (55.27940859365206 25.198297472766114)'
16,46,9,4,'2024-10-20 14:59:25.593220','POINT (55.28008930646081 25.197587795710298)'
17,46,0,'','2024-10-20 15:02:25.389830','POINT (55.2793434336285 25.197543517431267)'
18,46,7,2,'2024-10-20 15:05:25.186440','POINT (55.2789009506789 25.198154202011413)'
19,46,1,6,'2024-10-20 15:08:24.983050','POINT (55.27920185711148 25.19785749426559)'
20,46,0,'','2024-10-20 15:11:24.779660','POINT (55.27959294028792 25.198429412480635)'
21,46,6,2,'2024-10-20 15:14:24.576270','POINT (55.278524043680605 25.198572892555124)'
22,46,2,1,'2024-10-20 15:17:24.372880','POINT (55.27887543442815 25.19894773173064)'
23,46,10,2,'2024-10-20 15:20:24.169490','POINT (55.278380236325184 25.198149175098468)'
24,46,7,2,'2024-10-20 15:23:23.966100','POINT (55.279026915405474 25.198350394191188)'
25,46,8,4,'2024-10-20 15:26:23.762710','POINT (55.27993401047453 25.197686595005827)'
26,46,2,1,'2024-10-20 15:29:23.559320','POINT (55.27861809169904 25.199017251627136)'
27,46,2,1,'2024-10-20 15:32:23.355930','POINT (55.27896220056403 25.199031521503766)'
28,46,0,'','2024-10-20 15:35:23.152540','POINT (55.279149065379094 25.19834255966271)'
29,46,10,2,'2024-10-20 15:38:22.949150','POINT (55.27805430407399 25.19832229928859)'
30,46,11,4,'2024-10-20 15:41:22.745760','POINT (55.2796779594456 25.19723065897358)'
31,46,0,'','2024-10-20 15:44:22.542370','POINT (55.27904494774864 25.198236479878368)'
32,46,4,3,'2024-10-20 15:47:22.338980','POINT (55.279971752951646 25.19813712257911)'
33,46,10,2,'2024-10-20 15:50:22.135590','POINT (55.278176963599016 25.198341924268497)'
34,46,0,'','2024-10-20 15:53:21.932200','POINT (55.27997932444922 25.197945718993292)'
35,46,10,2,'2024-10-20 15:56:21.728810','POINT (55.278338604347695 25.198205820478478)'
36,46,0,'','2024-10-20 15:59:21.525420','POINT (55.27881742980798 25.197939235133195)'
37,46,5,3,'2024-10-20 16:02:21.322030','POINT (55.28038255384039 25.197965686038867)'
38,46,0,'','2024-10-20 16:05:21.118640','POINT (55.27931611956868 25.197542509189663)'
39,46,1,6,'2024-10-20 16:08:20.915250','POINT (55.279171046646745 25.197828892106536)'
40,46,2,1,'2024-10-20 16:11:20.711860','POINT (55.27878229804327 25.199202366378557)'
41,46,8,4,'2024-10-20 16:14:20.508470','POINT (55.27996500458009 25.19760120475216)'
42,46,11,4,'2024-10-20 16:17:20.305080','POINT (55.27988570640998 25.197455578537415)'
43,46,2,1,'2024-10-20 16:20:20.101690','POINT (55.27852799401275 25.19907652938078)'
44,75,0,'','2024-01-23 12:36:44.000000','POINT (55.2805884 25.19755989999999)'
45,75,8,4,'2024-01-23 12:39:44.000000','POINT (55.2798630261111 25.197817570994346)'
46,75,2,1,'2024-01-23 12:42:44.000000','POINT (55.2786924425935 25.198903423826795)'
47,75,0,'','2024-01-23 12:45:44.000000','POINT (55.28030837925185 25.19836938908863)'
48,75,0,'','2024-01-23 12:48:44.000000','POINT (55.278941823012225 25.197966044218713)'
49,75,4,3,'2024-01-23 12:51:44.000000','POINT (55.279897764869105 25.19815747556264)'
50,75,1,6,'2024-01-23 12:54:44.000000','POINT (55.27925676953625 25.19816841150598)'
51,75,10,2,'2024-01-23 12:57:44.000000','POINT (55.278253410786185 25.19842791869398)'
52,75,0,'','2024-01-23 13:00:44.000000','POINT (55.28003542153029 25.197902927455047)'
53,75,3,1,'2024-01-23 13:03:44.000000','POINT (55.279031127781984 25.198652374722666)'
54,75,8,4,'2024-01-23 13:06:44.000000','POINT (55.27975421792104 25.19776862370829)'
55,75,0,'','2024-01-23 13:09:44.000000','POINT (55.27839249304447 25.198778481959998)'
56,75,0,'','2024-01-23 13:12:44.000000','POINT (55.27942622706589 25.198409848072824)'
57,75,11,4,'2024-01-23 13:15:44.000000','POINT (55.27980344736659 25.197651105713383)'
58,75,0,'','2024-01-23 13:18:44.000000','POINT (55.28010661616491 25.19797025140732)'
59,75,0,'','2024-01-23 13:21:44.000000','POINT (55.279977083096604 25.19807323590707)'
60,75,0,'','2024-01-23 13:24:44.000000','POINT (55.28006947123565 25.19790312033826)'
61,75,1,6,'2024-01-23 13:27:44.000000','POINT (55.27926491095376 25.198196644924508)'
62,75,0,'','2024-01-23 13:30:44.000000','POINT (55.278337240570195 25.198842747055195)'
63,75,4,3,'2024-01-23 13:33:44.000000','POINT (55.27980147298334 25.198131360958584)'
64,75,2,1,'2024-01-23 13:36:44.000000','POINT (55.27875539763593 25.19923931837741)'
65,75,0,'','2024-01-23 13:39:44.000000','POINT (55.279517159549606 25.198248575746433)'
66,75,0,'','2024-01-23 13:42:44.000000','POINT (55.27961544148938 25.19808977741529)'
67,75,0,'','2024-01-23 13:45:44.000000','POINT (55.27956346348621 25.198227952164252)'
68,75,2,1,'2024-01-23 13:48:44.000000','POINT (55.27843538605536 25.19889914216198)'
69,75,0,'','2024-01-23 13:51:44.000000','POINT (55.278927581642144 25.197902892329818)'
70,75,10,2,'2024-01-23 13:54:44.000000','POINT (55.278175978827655 25.19823440315985)'
71,75,5,3,'2024-01-23 13:57:44.000000','POINT (55.28027282790244 25.198114246726607)'
72,75,11,4,'2024-01-23 14:00:44.000000','POINT (55.28034352082858 25.197307465824945)'
73,90,0,'','2024-09-02 09:04:20.000000','POINT (55.2805884 25.19755989999999)'
74,90,0,'','2024-09-02 09:07:19.838384','POINT (55.27889256416717 25.197802608212402)'
75,90,9,4,'2024-09-02 09:10:19.676768','POINT (55.28020180854599 25.197677059400316)'
76,90,10,2,'2024-09-02 09:13:19.515152','POINT (55.278474759814976 25.198277439264167)'
77,90,10,2,'2024-09-02 09:16:19.353536','POINT (55.278735829278496 25.197952605248084)'
78,90,1,6,'2024-09-02 09:19:19.191920','POINT (55.27908736090346 25.19788623232602)'
79,90,1,6,'2024-09-02 09:22:19.030304','POINT (55.27923863944668 25.19809142246497)'
80,90,10,2,'2024-09-02 09:25:18.868688','POINT (55.27818676429573 25.198237729467515)'
81,90,3,1,'2024-09-02 09:28:18.707072','POINT (55.27939863145732 25.1988701050706)'
82,90,10,2,'2024-09-02 09:31:18.545456','POINT (55.278782153726276 25.198114645277542)'
